shoe_id,brand,name,lightweight,rocker,removable_insole,pace_daily_running,pace_tempo,pace_competition,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,midsole_softness,toebox_durability,heel_durability,outsole_durability,breathability_scaled,width_fit,toebox_width,stiffness_scaled,torsional_rigidity,heel_stiff,plate_rock_plate,plate_carbon_plate,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all
r108,asics,glideride max,0,1,1,1,0,0,1,0,9.9,12.7,1,0,0,5,3,4,4,3,3,3,3,5,5,0,0,44.1,31.4,0,0,1
r109,asics,gt 1000 10,0,0,0,1,0,0,0,1,9.8,7.8,0,1,1,0,0,0,0,0,3,0,5,0,3,0,0,31.0,23.2,0,0,0
r110,asics,gt 1000 11,0,0,1,1,0,0,0,1,9.9,9.0,1,1,1,5,0,0,0,0,1,0,5,3,1,0,0,31.5,22.5,0,0,0
r111,asics,gt 1000 12,0,0,1,1,0,0,0,1,9.6,7.2,0,1,1,5,2,4,4,5,3,5,3,3,3,0,0,30.2,23.0,1,0,1
r112,asics,gt 1000 13,0,0,1,1,0,0,0,1,9.7,8.7,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,33.7,25.0,0,0,1
r113,asics,gt 1000 14,0,0,1,1,0,0,0,1,9.6,9.6,1,1,1,5,3,4,4,1,3,3,3,5,3,0,0,35.4,25.8,0,0,1
r114,asics,gt 1000 9,0,0,1,1,0,0,0,1,10.1,6.0,0,1,1,0,0,0,0,0,3,0,5,5,5,0,0,31.6,25.6,0,0,0
r115,asics,gt 2000 10,0,0,1,1,0,0,0,1,9.9,7.5,0,1,1,0,0,0,0,0,3,0,5,3,5,0,0,31.5,24.0,0,0,0
r116,asics,gt 2000 11,0,0,1,1,0,0,0,1,9.9,6.0,0,1,1,3,0,0,0,3,1,0,5,3,3,0,0,30.7,24.7,0,0,1
r117,asics,gt 2000 12,0,0,1,1,0,0,0,1,9.7,10.0,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,36.6,26.6,0,0,1
r118,asics,gt 2000 13,0,0,1,1,0,0,0,1,9.3,9.4,1,1,1,5,4,4,4,3,3,3,3,5,5,0,0,36.6,27.2,0,0,1
r119,asics,gt 2000 14,0,0,1,1,0,0,0,1,9.5,8.7,1,1,1,5,3,4,4,1,3,1,3,5,5,0,0,36.9,28.2,0,0,1
r120,asics,jolt 4,0,0,1,1,0,0,1,0,9.1,9.4,1,1,1,3,2,3,4,5,3,5,3,5,5,0,0,31.6,22.2,1,0,1
r121,asics,magic speed,1,1,0,0,1,0,1,0,8.2,8.3,1,1,1,3,0,0,0,5,1,0,5,5,1,0,1,32.5,24.2,1,0,1
r122,asics,magic speed 2,1,1,0,0,1,0,1,0,8.0,8.7,1,1,1,0,0,0,0,5,1,0,5,5,1,0,1,35.1,26.4,1,0,1
r123,asics,magic speed 3,1,1,1,0,1,0,1,0,7.4,9.8,1,1,1,5,2,3,4,3,1,3,5,5,1,0,1,36.3,26.5,0,0,1
r124,asics,magic speed 4,1,1,1,0,1,1,1,0,8.4,9.6,1,1,1,5,4,4,4,5,3,3,5,5,1,0,1,42.5,32.9,1,0,1
r125,asics,megablast,1,1,1,0,1,1,1,0,7.7,9.9,1,1,1,5,2,4,4,3,3,3,5,5,3,0,0,45.1,35.2,0,0,1
r126,asics,metaspeed edge,1,1,0,0,0,1,1,0,6.2,8.0,1,1,1,0,0,0,0,0,1,0,5,5,1,0,1,31.6,23.6,0,0,0
r127,asics,metaspeed edge tokyo,1,1,1,0,0,1,1,0,5.6,6.9,0,1,1,5,2,4,4,5,1,3,3,5,1,0,1,38.9,32.0,1,0,1
r128,asics,metaspeed edge+,1,1,0,0,0,1,1,0,7.3,8.1,1,1,1,1,0,0,0,5,1,0,5,5,1,0,1,33.3,25.2,1,0,1
r129,asics,metaspeed ray,1,1,1,0,0,1,1,0,4.6,9.8,1,1,1,5,2,4,3,3,1,1,3,3,1,0,1,39.8,30.0,0,0,1
r130,asics,metaspeed sky,1,1,0,0,0,1,1,0,6.7,2.5,0,1,1,0,0,0,0,5,1,0,0,5,0,0,1,33.7,31.2,1,0,1
r131,asics,metaspeed sky paris,1,1,1,0,0,1,1,0,6.5,6.5,0,1,1,3,4,4,4,5,1,3,5,5,1,0,1,39.1,32.6,1,0,1
r132,asics,metaspeed sky tokyo,1,1,1,0,0,1,1,0,5.7,6.0,0,1,1,5,2,4,3,5,1,1,5,5,1,0,1,38.7,32.7,1,0,1
r133,asics,metaspeed sky+,1,1,0,0,0,1,1,0,7.2,2.7,0,1,1,0,0,4,0,5,1,0,5,5,1,0,1,33.5,30.8,1,0,1
r134,asics,noosa tri 14,1,1,1,1,1,0,1,0,7.5,8.0,1,1,1,5,0,0,0,3,1,0,5,3,1,0,0,30.2,22.2,0,0,1
r135,asics,noosa tri 15,1,1,1,1,1,0,1,0,7.7,7.7,0,1,1,5,2,4,4,5,5,3,3,5,3,0,0,34.6,26.9,1,0,1
